veh_value,exposure,clm,numclaims,claimcst0,veh_body,veh_age,gender,area,agecat
0.54,0.427104723,0,0,0,HBACK,4,F,B,3
1.61,0.353182752,0,0,0,SEDAN,2,F,B,4
1.29,0.511978097,0,0,0,HBACK,1,F,A,4
1.98,0.087611225,0,0,0,HBACK,1,F,E,6
1.35,0.646132786,0,0,0,SEDAN,3,M,A,5
2.49,0.648870637,0,0,0,STNWG,3,M,C,3
2.44,0.350444901,0,0,0,SEDAN,1,F,E,4
0.37,0.777549624,0,0,0,HBACK,4,F,A,3
0.71,0.34770705,0,0,0,SEDAN,4,F,A,5
1.04,0.651608487,0,0,0,SEDAN,4,M,C,4
0.18,0.213552361,0,0,0,HBACK,4,M,E,6
0.62,0.399726215,0,0,0,SEDAN,4,F,C,1
1.25,0.219028063,0,0,0,SEDAN,4,M,A,2
1.99,0.052019165,0,0,0,SEDAN,2,M,A,2
0.56,0.350444901,0,0,0,SEDAN,4,F,A,2
1.03,0.353182752,0,0,0,SEDAN,3,F,D,3
0.51,0.840520192,0,0,0,HBACK,4,F,A,6
2.75,0.900752909,0,0,0,SEDAN,1,M,C,5
1.87,0.021902806,0,0,0,STNWG,4,M,C,2
1.71,0.788501027,0,0,0,SEDAN,2,F,C,2
1.22,0.829568789,0,0,0,STNWG,4,M,C,3
1.74,0.933607118,0,0,0,HBACK,2,F,B,6
0.77,0.396988364,0,0,0,HBACK,3,F,A,2
6.28,0.829568789,0,0,0,SEDAN,2,F,A,4
3.87,0.240930869,0,0,0,STNWG,2,M,F,2
1.64,0.232717317,0,0,0,SEDAN,2,F,C,4
0.97,0.213552361,0,0,0,SEDAN,3,F,C,2
1.77,0.610540726,0,0,0,STNWG,2,F,B,4
1.01,0.134154689,0,0,0,HBACK,3,F,C,5
0.95,0.955509925,0,0,0,SEDAN,3,M,C,5
1.41,0.372347707,0,0,0,HBACK,1,F,C,6
0.66,0.1724846,0,0,0,SEDAN,4,F,C,4
2.56,0.837782341,0,0,0,SEDAN,1,M,B,4
0.7,0.257357974,0,0,0,SEDAN,4,F,D,5
0.43,0.837782341,0,0,0,HBACK,4,M,E,6
2.65,0.038329911,0,0,0,STNWG,3,M,E,4
1.99,0.17522245,0,0,0,HBACK,1,F,A,6
1.53,0.427104723,0,0,0,HBACK,3,F,A,3
0.97,0.930869268,0,0,0,HBACK,3,M,A,5
1.93,0.511978097,0,0,0,HBACK,2,F,B,4
2.199,0.427104723,1,1,200,SEDAN,1,F,C,1
1.58,0.48733744,0,0,0,SEDAN,2,F,A,3
1.38,0.654346338,0,0,0,SEDAN,3,F,A,5
0.31,0.344969199,0,0,0,HBACK,4,F,D,5
5.16,0.114989733,0,0,0,STNWG,1,M,B,2
1.35,0.344969199,0,0,0,SEDAN,3,F,A,4
3.22,0.344969199,0,0,0,STNWG,2,F,F,3
1.81,0.344969199,0,0,0,SEDAN,2,F,E,4
3.3,0.777549624,0,0,0,UTE,2,M,E,4
1.12,0.210814511,0,0,0,STNWG,3,F,C,3
5.899,0.167008898,0,0,0,STNWG,1,M,C,3
1.1,0.511978097,0,0,0,UTE,4,M,F,2
1.8,0.865160849,0,0,0,STNWG,4,M,E,3
0.55,0.240930869,0,0,0,UTE,4,M,C,2
2.76,0.156057495,0,0,0,SEDAN,1,M,A,1
0.96,0.865160849,0,0,0,TRUCK,4,M,C,4
1.17,0.240930869,0,0,0,SEDAN,3,F,D,3
1.16,0.084873374,0,0,0,SEDAN,3,M,A,6
0.31,0.084873374,0,0,0,HBACK,4,F,A,6
1.23,0.079397673,0,0,0,HBACK,2,F,C,6
0.43,0.084873374,0,0,0,HBACK,4,F,A,6
2.21,0.914442163,0,0,0,UTE,3,M,A,4
1.12,0.084873374,0,0,0,HBACK,2,M,C,4
0.79,0.079397673,0,0,0,HBACK,3,F,C,3
1.78,0.536618754,0,0,0,HBACK,2,F,A,2
0.92,0.084873374,0,0,0,SEDAN,3,M,D,3
3.75,0.777549624,0,0,0,HDTOP,2,M,A,4
0.67,0.084873374,0,0,0,STNWG,4,F,F,5
0.61,0.720054757,0,0,0,SEDAN,4,M,C,5
4.04,0.930869268,0,0,0,STNWG,2,M,C,2
0.96,0.914442163,0,0,0,TRUCK,4,M,D,3
0.64,0.084873374,0,0,0,HBACK,4,F,F,2
1.17,0.777549624,0,0,0,HBACK,2,F,C,1
0.93,0.632443532,0,0,0,UTE,4,M,C,2
0.35,0.084873374,0,0,0,SEDAN,4,F,B,4
0.88,0.462696783,0,0,0,HBACK,3,F,C,2
1.01,0.084873374,0,0,0,SEDAN,3,F,D,3
1.72,0.865160849,1,1,362.8599997,TRUCK,1,F,D,3
0.93,0.079397673,0,0,0,SEDAN,3,M,B,6
1.86,0.084873374,0,0,0,SEDAN,1,F,C,3
0.57,0.093086927,0,0,0,UTE,4,F,E,4
1.91,0.084873374,0,0,0,UTE,2,M,E,3
0.96,0.747433265,0,0,0,HBACK,3,F,D,6
1.428,0.777549624,0,0,0,HBACK,1,M,C,4
1.17,0.079397673,0,0,0,TRUCK,3,F,C,1
1.84,0.840520192,0,0,0,SEDAN,1,F,A,2
0.27,0.079397673,0,0,0,HBACK,4,F,C,4
3.399,0.41615332,0,0,0,STNWG,1,M,A,5
1.11,0.082135524,0,0,0,SEDAN,3,F,C,4
2.22,0.079397673,0,0,0,SEDAN,3,M,A,3
0.8,0.082135524,0,0,0,HBACK,3,F,B,2
1.97,0.339493498,0,0,0,STNWG,3,M,F,4
0.84,0.084873374,0,0,0,HBACK,3,F,D,4
1.26,0.917180014,0,0,0,HBACK,2,F,A,3
1.44,0.084873374,0,0,0,UTE,3,M,B,6
1.03,0.424366872,0,0,0,HBACK,4,F,C,2
1.89,0.06844627,0,0,0,STNWG,3,F,B,2
1.85,0.607802875,0,0,0,SEDAN,2,M,B,3
1.69,0.342231348,0,0,0,HBACK,1,F,D,5
2.09,0.657084189,0,0,0,SEDAN,2,F,D,3
1.51,0.657084189,1,1,616.9099999,STNWG,4,F,C,4
1.57,0.342231348,0,0,0,STNWG,4,F,B,6
3.65,0.342231348,0,0,0,STNWG,1,F,B,4
2.5,0.202600958,0,0,0,STNWG,2,M,A,3
1.38,0.607802875,0,0,0,SEDAN,3,M,A,4
2.38,0.238193019,0,0,0,SEDAN,2,M,A,5
1.44,0.421629021,0,0,0,HBACK,2,F,C,3
1.76,0.449007529,0,0,0,HBACK,2,F,C,4
1.54,0.413415469,0,0,0,SEDAN,2,F,B,5
1.44,0.238193019,0,0,0,SEDAN,3,M,B,4
1.71,0.837782341,0,0,0,SEDAN,2,F,B,3
1.28,0.824093087,0,0,0,SEDAN,3,F,D,2
1.47,0.542094456,0,0,0,HBACK,2,F,C,6
1.15,0.542094456,0,0,0,SEDAN,3,M,B,6
1.68,0.45174538,0,0,0,HDTOP,3,F,C,5
2.37,0.832306639,1,1,200,STNWG,4,F,D,4
0.51,0.542094456,0,0,0,HBACK,4,F,B,4
2.05,0.544832307,0,0,0,SEDAN,2,F,B,5
2.53,0.547570157,0,0,0,SEDAN,1,F,B,5
1.67,0.449007529,0,0,0,STNWG,2,M,B,2
0.96,0.268309377,0,0,0,SEDAN,4,F,A,4
0.41,0.542094456,0,0,0,SEDAN,4,F,C,3
0.46,0.542094456,0,0,0,HBACK,4,F,A,5
4.25,0.421629021,0,0,0,STNWG,2,F,B,3
1.01,0.45174538,0,0,0,STNWG,4,M,D,4
2.08,0.547570157,0,0,0,STNWG,3,M,D,3
1.61,0.454483231,0,0,0,STNWG,4,F,C,4
1.5,0.544832307,0,0,0,STNWG,4,F,C,1
2.53,0.673511294,0,0,0,SEDAN,1,M,A,4
1.54,0.457221081,0,0,0,HBACK,3,F,C,4
1.35,0.169746749,0,0,0,HDTOP,4,F,C,2
0.82,0.287474333,0,0,0,HBACK,4,F,A,5
0.91,0.544832307,0,0,0,UTE,4,M,F,2
0.83,0.544832307,0,0,0,HBACK,3,F,C,4
0.55,0.45174538,0,0,0,HBACK,4,F,A,5
2.75,0.446269678,0,0,0,STNWG,1,F,B,1
1.14,0.547570157,0,0,0,STNWG,3,F,C,3
0.28,0.120465435,0,0,0,SEDAN,4,F,A,5
0.95,0.544832307,0,0,0,HDTOP,4,F,B,3
1.34,0.761122519,0,0,0,UTE,2,M,C,4
0.73,0.774811773,0,0,0,HBACK,3,F,D,2
0.84,0.774811773,0,0,0,HBACK,3,M,A,5
2.63,0.071184121,0,0,0,HDTOP,3,F,C,4
2.04,0.824093087,0,0,0,UTE,4,M,F,3
4.45,0.17522245,0,0,0,STNWG,2,F,F,4
1.39,0.470910335,0,0,0,HBACK,2,M,C,4
2.27,0.824093087,0,0,0,HBACK,1,F,C,4
2.47,0.824093087,0,0,0,TRUCK,3,M,C,2
1.52,0.824093087,0,0,0,HBACK,2,F,C,3
1.27,0.772073922,0,0,0,HDTOP,4,M,F,2
1.399,0.873374401,0,0,0,HBACK,1,F,A,2
2.03,0.495550993,0,0,0,STNWG,3,M,A,3
0.43,0.169746749,0,0,0,SEDAN,4,F,C,5
4.03,0.41615332,0,0,0,STNWG,2,F,A,4
1.47,0.83504449,1,2,400,SEDAN,3,F,B,2
2.31,0.41615332,0,0,0,HBACK,1,M,C,3
1.24,0.205338809,0,0,0,HBACK,2,F,A,1
1.55,0.41615332,0,0,0,HBACK,1,M,A,1
1.74,0.922655715,0,0,0,HBACK,2,F,B,6
0.37,0.503764545,0,0,0,SEDAN,4,F,C,2
0.39,0.536618754,0,0,0,SEDAN,4,M,B,5
1.07,0.772073922,0,0,0,SEDAN,3,F,A,1
0.66,0.536618754,0,0,0,SEDAN,4,M,A,4
3.599,0.643394935,0,0,0,STNWG,1,M,C,4
1.79,0.539356605,1,1,1240.639999,SEDAN,3,F,A,5
0.71,0.539356605,0,0,0,SEDAN,4,F,B,4
0.81,0.265571526,0,0,0,HBACK,3,F,A,3
1.16,0.377823409,0,0,0,HBACK,3,F,B,2
1.36,0.536618754,1,1,1579.309998,SEDAN,3,F,B,4
2.33,0.539356605,0,0,0,UTE,2,M,A,3
1.3,0.459958932,1,1,521.6199999,HBACK,2,F,A,5
0.41,0.536618754,0,0,0,SEDAN,4,F,B,5
1.56,0.572210815,0,0,0,STNWG,4,M,D,5
4.8,0.772073922,0,0,0,TRUCK,1,M,B,2
1.799,0.876112252,0,0,0,SEDAN,1,F,C,3
2.58,0.569472964,0,0,0,STNWG,2,F,A,5
2.02,0.572210815,0,0,0,STNWG,3,M,F,2
3.44,0.443531828,1,1,200,TRUCK,2,M,E,1
1.1,0.490075291,0,0,0,HBACK,2,M,C,6
0.77,0.772073922,0,0,0,HBACK,4,F,C,2
1.71,0.772073922,0,0,0,HBACK,1,F,A,2
1.37,0.443531828,0,0,0,HBACK,1,F,E,5
1.87,0.1724846,0,0,0,SEDAN,1,M,B,2
1.3,0.55578371,0,0,0,HBACK,2,F,C,5
1.1,0.177960301,0,0,0,STNWG,4,F,C,4
2.85,0.06844627,0,0,0,STNWG,1,M,F,4
1.27,0.358658453,0,0,0,SEDAN,3,F,E,1
2.95,0.829568789,0,0,0,STNWG,2,F,B,3
1.82,0.818617385,0,0,0,STNWG,4,M,B,1
2.07,0.83504449,1,1,703.0799999,SEDAN,2,M,C,5
1.63,0.829568789,0,0,0,SEDAN,2,F,B,5
1.07,0.829568789,0,0,0,SEDAN,3,F,B,3
2.62,0.83504449,0,0,0,STNWG,3,M,A,6
0.59,0.164271047,0,0,0,SEDAN,4,M,C,4
1.63,0.83504449,0,0,0,SEDAN,2,F,C,6
0.99,0.052019165,0,0,0,HBACK,2,F,C,3
1.37,0.501026694,0,0,0,HBACK,1,F,B,2
1.92,0.569472964,1,1,5551,HBACK,2,F,C,1
1.94,0.514715948,0,0,0,STNWG,4,F,F,2
1.22,0.83504449,0,0,0,STNWG,4,M,C,3
0.93,0.832306639,0,0,0,HBACK,4,F,C,3
1.28,0.167008898,0,0,0,HBACK,4,M,B,3
1.89,0.796714579,0,0,0,SEDAN,2,F,A,1
0.87,0.793976728,0,0,0,SEDAN,3,M,B,1
1.22,0.832306639,0,0,0,HBACK,3,F,E,4
2.14,0.501026694,0,0,0,TRUCK,2,M,C,3
1.19,0.829568789,0,0,0,SEDAN,3,F,A,4
2.21,0.83504449,0,0,0,SEDAN,2,M,A,5
1.29,0.164271047,0,0,0,SEDAN,3,F,B,5
1.3,0.169746749,0,0,0,SEDAN,3,F,B,6
3.24,0.501026694,0,0,0,STNWG,2,F,B,2
1.67,0.030116359,0,0,0,STNWG,4,F,C,3
0.78,0.829568789,0,0,0,HBACK,4,F,A,3
1.34,0.413415469,0,0,0,HDTOP,3,F,F,2
1.13,0.169746749,0,0,0,STNWG,4,M,F,2
0.54,0.169746749,0,0,0,SEDAN,4,F,B,4
0.95,0.413415469,0,0,0,UTE,3,F,C,1
1.11,0.169746749,0,0,0,STNWG,4,F,C,4
2.48,0.829568789,0,0,0,SEDAN,1,M,B,4
2.1,0.202600958,0,0,0,STNWG,2,F,A,4
1.59,0.150581793,0,0,0,STNWG,4,M,A,3
1.66,0.090349076,0,0,0,UTE,3,F,E,5
1.77,0.566735113,0,0,0,SEDAN,3,F,A,5
1.04,0.169746749,1,1,200,UTE,4,M,B,3
1.64,0.558521561,0,0,0,UTE,3,M,B,2
1.22,0.076659822,0,0,0,STNWG,4,F,C,5
1.4,0.076659822,0,0,0,HBACK,2,F,E,5
0.72,0.813141684,0,0,0,HBACK,4,M,A,2
0.42,0.164271047,0,0,0,STNWG,4,M,C,5
0.7,0.076659822,0,0,0,SEDAN,4,F,B,3
2.2,0.550308008,0,0,0,STNWG,4,M,A,5
1.85,0.813141684,0,0,0,SEDAN,2,F,A,3
1.45,0.120465435,0,0,0,STNWG,3,F,B,6
2.23,0.1724846,0,0,0,SEDAN,1,F,A,2
1.79,0.826830938,0,0,0,STNWG,4,F,D,4
1.65,0.410677618,0,0,0,SEDAN,3,F,A,4
3.22,0.339493498,0,0,0,STNWG,2,M,C,5
0.18,0.339493498,0,0,0,HBACK,4,M,E,6
2.4,0.344969199,0,0,0,TRUCK,3,M,F,5
0.75,0.339493498,0,0,0,HBACK,3,M,B,6
0.5,0.344969199,0,0,0,UTE,4,M,A,3
1.86,0.339493498,0,0,0,SEDAN,3,M,A,5
0.47,0.65982204,0,0,0,STNWG,4,M,A,6
4.56,0.339493498,0,0,0,STNWG,1,F,B,5
1.26,0.999315537,0,0,0,HBACK,2,F,A,6
1.13,0.440793977,0,0,0,SEDAN,3,F,B,1
3.95,0.429842574,0,0,0,UTE,1,M,C,4
5.27,0.432580424,0,0,0,STNWG,2,F,C,4
2.39,0.676249144,0,0,0,STNWG,4,M,F,4
1.559,0.558521561,0,0,0,HBACK,1,M,C,1
1.85,0.410677618,0,0,0,SEDAN,1,F,A,3
1,0.796714579,0,0,0,HBACK,3,F,C,5
1.18,0.824093087,0,0,0,TRUCK,3,M,E,3
1.77,0.405201917,0,0,0,STNWG,4,M,B,3
2.05,0.824093087,0,0,0,SEDAN,1,F,A,4
0.52,0.824093087,0,0,0,SEDAN,4,M,B,4
0.39,0.824093087,0,0,0,SEDAN,4,F,B,5
7.46,0.824093087,1,1,200,STNWG,1,M,C,6
1.29,0.273785079,0,0,0,SEDAN,3,F,C,4
1.33,0.17522245,0,0,0,HBACK,3,F,D,1
1.63,0.410677618,0,0,0,STNWG,4,M,B,1
0.56,0.440793977,0,0,0,SEDAN,4,F,A,1
1.96,0.145106092,0,0,0,STNWG,4,F,D,2
0.64,0.120465435,0,0,0,HBACK,4,M,C,2
0.71,0.336755647,0,0,0,SEDAN,4,F,C,6
2.05,0.336755647,0,0,0,HBACK,1,F,B,4
2.999,0.5229295,0,0,0,STNWG,1,M,E,4
3.89,0.336755647,0,0,0,UTE,1,F,A,5
1.82,0.662559891,0,0,0,SEDAN,2,F,C,4
2.29,0.021902806,0,0,0,SEDAN,1,M,A,1
1.41,0.336755647,0,0,0,UTE,4,M,B,2
2.42,0.336755647,1,1,1744.349999,STNWG,2,M,C,4
1.45,0.572210815,1,1,353.77,STNWG,3,M,A,3
0.58,0.336755647,0,0,0,SEDAN,4,F,B,3
0.47,0.336755647,0,0,0,HBACK,4,F,B,5
2.82,0.336755647,1,1,498.5,STNWG,3,F,C,3
5.87,0.197125257,0,0,0,SEDAN,2,M,C,1
1.74,0.167008898,0,0,0,HBACK,2,F,C,1
2.75,0.005475702,0,0,0,SEDAN,1,F,A,2
3.04,0.292950034,0,0,0,TRUCK,3,M,C,2
8.1,0.999315537,0,0,0,SEDAN,3,M,D,3
1.53,0.774811773,0,0,0,SEDAN,3,F,E,4
1.37,0.999315537,1,1,1336.529995,SEDAN,3,F,A,6
2.87,0.073921971,0,0,0,STNWG,2,F,A,5
3.1,0.073921971,0,0,0,STNWG,3,M,A,4
1.23,0.925393566,0,0,0,HBACK,2,F,E,3
1.29,0.925393566,0,0,0,SEDAN,3,F,E,2
0.82,0.073921971,0,0,0,SEDAN,4,M,B,2
0.8,0.073921971,0,0,0,TRUCK,4,M,D,3
1.8,0.492813142,0,0,0,SEDAN,2,M,C,4
2.35,0.807665982,0,0,0,SEDAN,1,M,D,6
1.5,0.224503765,0,0,0,HBACK,2,F,C,4
1.07,0.999315537,1,1,278.6499996,SEDAN,2,M,A,1
1.82,0.495550993,0,0,0,STNWG,3,M,A,4
0.82,0.810403833,0,0,0,HBACK,4,F,C,4
1.75,0.364134155,0,0,0,HBACK,2,F,A,4
0.46,0.114989733,0,0,0,HBACK,4,F,B,5
0.54,0.914442163,0,0,0,HBACK,4,F,B,2
1.56,0.533880904,0,0,0,SEDAN,2,F,B,6
1.74,0.533880904,0,0,0,SEDAN,2,M,F,3
0.44,0.558521561,0,0,0,HBACK,4,F,C,5
1.03,0.807665982,0,0,0,SEDAN,3,M,B,3
0.83,0.016427105,1,1,204.2399982,HBACK,3,F,C,4
1.2,0.79945243,0,0,0,SEDAN,3,F,C,2
1.18,0.492813142,0,0,0,TRUCK,4,M,F,3
1.69,0.158795346,0,0,0,SEDAN,2,F,D,3
1.42,0.821355236,0,0,0,STNWG,4,M,A,2
1.43,0.180698152,0,0,0,SEDAN,3,F,B,4
5.236,0.999315537,0,0,0,STNWG,1,F,C,2
0.97,0.492813142,0,0,0,HBACK,3,F,B,2
2.35,0.429842574,0,0,0,HBACK,3,F,C,4
0.6,0.807665982,0,0,0,SEDAN,4,F,C,3
1.19,0.807665982,0,0,0,STNWG,4,F,D,2
1.76,0.429842574,0,0,0,HBACK,2,M,A,2
1.29,0.492813142,0,0,0,HBACK,1,F,B,2
2.77,0.251882272,0,0,0,STNWG,3,F,F,2
0.62,0.588637919,0,0,0,STNWG,4,M,C,3
1.5,0.219028063,0,0,0,SEDAN,3,F,C,5
3.19,0.490075291,0,0,0,SEDAN,1,F,A,1
3.47,0.465434634,0,0,0,STNWG,1,F,D,2
1.21,0.142368241,0,0,0,SEDAN,3,F,E,3
1.18,0.429842574,0,0,0,STNWG,4,F,C,4
2.299,0.509240246,0,0,0,SEDAN,1,F,C,1
1.26,0.804928131,0,0,0,SEDAN,3,M,C,6
1.85,0.821355236,1,2,951.9299965,SEDAN,2,M,A,4
4.349,0.405201917,0,0,0,UTE,1,M,A,2
1.85,0.331279945,0,0,0,HBACK,1,F,C,6
2.26,0.427104723,1,1,1216.800018,SEDAN,2,M,A,2
1.45,0.328542095,0,0,0,SEDAN,3,M,B,5
2.99,0.334017796,0,0,0,STNWG,3,M,B,3
0.68,0.331279945,0,0,0,SEDAN,4,F,C,3
1.61,0.55578371,1,1,3353.279999,SEDAN,2,F,B,4
2.38,0.334017796,0,0,0,STNWG,3,F,C,4
6.54,0.429842574,0,0,0,STNWG,1,M,B,5
3.46,0.331279945,0,0,0,UTE,2,M,B,4
2.78,0.328542095,0,0,0,UTE,3,F,A,2
1.59,0.331279945,0,0,0,HDTOP,4,M,B,5
1.65,0.125941136,0,0,0,SEDAN,3,F,B,6
1.82,0.665297741,0,0,0,HBACK,2,F,C,5
1.45,0.668035592,0,0,0,STNWG,4,F,C,3
2.56,0.429842574,0,0,0,UTE,2,F,D,3
3.17,0.219028063,0,0,0,STNWG,2,M,C,3
1.94,0.810403833,0,0,0,HBACK,3,F,C,3
2.09,0.443531828,0,0,0,STNWG,2,M,A,4
2.38,0.804928131,0,0,0,STNWG,4,M,D,3
2.72,0.188911704,0,0,0,STNWG,1,F,B,4
3.15,0.194387406,0,0,0,STNWG,3,F,F,2
2.28,0.843258042,1,2,427.4599991,STNWG,2,M,A,3
3.42,0.216290212,0,0,0,TRUCK,2,M,F,2
2.01,0.443531828,0,0,0,HBACK,1,M,D,4
1.38,0.514715948,0,0,0,UTE,3,M,F,2
0.99,0.804928131,0,0,0,SEDAN,3,M,C,3
1.92,0.514715948,0,0,0,SEDAN,2,M,D,3
2.39,0.396988364,0,0,0,STNWG,2,F,C,3
3.52,0.843258042,0,0,0,STNWG,3,M,B,3
0.46,0.843258042,0,0,0,HBACK,4,M,A,4
4.33,0.216290212,0,0,0,STNWG,1,M,D,3
1.19,0.818617385,0,0,0,HDTOP,4,F,D,1
0.88,0.153319644,0,0,0,SEDAN,3,F,D,5
1.549,0.396988364,0,0,0,HBACK,1,F,A,1
1.4,0.413415469,0,0,0,UTE,4,F,D,2
1.68,0.27926078,1,1,200,HBACK,2,F,A,3
1.31,0.186173854,0,0,0,SEDAN,3,M,A,4
2.14,0.484599589,0,0,0,SEDAN,2,F,F,4
1.32,0.292950034,0,0,0,HBACK,3,F,A,2
1.18,0.427104723,0,0,0,STNWG,4,F,E,6
2.64,0.616016427,0,0,0,STNWG,3,M,C,2
0.78,0.884325804,0,0,0,UTE,4,M,C,2
1.89,0.396988364,0,0,0,SEDAN,1,F,D,4
1.83,0.514715948,0,0,0,TRUCK,3,M,B,3
1.46,0.802190281,0,0,0,HBACK,1,F,A,4
1.97,0.550308008,0,0,0,SEDAN,2,F,B,6
1.58,0.394250513,0,0,0,HBACK,1,F,D,6
2.06,0.17522245,0,0,0,SEDAN,3,M,C,2
7.351,0.542094456,0,0,0,STNWG,1,M,C,3
3.11,0.17522245,0,0,0,STNWG,1,F,A,3
0.41,0.821355236,0,0,0,SEDAN,4,M,B,5
1.69,0.821355236,0,0,0,HBACK,3,M,C,4
2.81,0.446269678,0,0,0,STNWG,1,F,A,3
1.71,0.008213552,0,0,0,HBACK,1,F,C,5
1.19,0.821355236,0,0,0,SEDAN,3,F,B,4
2.07,0.153319644,0,0,0,UTE,3,M,D,5
0.48,0.071184121,0,0,0,HBACK,4,M,D,6
1.35,0.153319644,0,0,0,SEDAN,3,F,A,6
3.52,0.928131417,0,0,0,STNWG,3,F,C,3
0.43,0.928131417,0,0,0,SEDAN,4,F,D,5
1.33,0.106776181,0,0,0,HDTOP,4,F,A,4
0.9,0.815879535,0,0,0,SEDAN,3,F,D,2
1.16,0.071184121,0,0,0,STNWG,4,M,B,4
2.66,0.109514032,0,0,0,STNWG,2,F,A,2
3.32,0.394250513,0,0,0,STNWG,2,M,E,2
2.56,0.210814511,0,0,0,UTE,3,M,F,2
1.41,0.465434634,0,0,0,SEDAN,3,F,A,4
1.21,0.446269678,0,0,0,HBACK,2,F,C,6
1.78,0.818617385,0,0,0,SEDAN,3,M,D,3
1.04,0.818617385,0,0,0,HBACK,2,M,B,4
1.78,0.818617385,0,0,0,SEDAN,3,M,C,6
0.62,0.180698152,0,0,0,SEDAN,4,F,B,3
1.81,0.818617385,0,0,0,SEDAN,3,F,B,6
1.99,0.002737851,0,0,0,STNWG,3,F,F,3
0.77,0.06844627,0,0,0,SEDAN,4,F,C,6
1.44,0.788501027,0,0,0,SEDAN,3,F,B,1
1.22,0.06844627,0,0,0,HDTOP,4,M,C,6
3.23,0.999315537,0,0,0,TRUCK,3,F,F,2
0.39,0.930869268,0,0,0,HBACK,4,F,C,6
1.11,0.06844627,0,0,0,SEDAN,3,F,B,4
0.71,0.06844627,0,0,0,SEDAN,4,M,C,4
0.97,0.150581793,0,0,0,SEDAN,3,F,A,4
1.83,0.769336071,0,0,0,STNWG,4,M,C,1
1.06,0.550308008,0,0,0,STNWG,4,F,D,1
1.31,0.449007529,0,0,0,HBACK,2,F,F,5
1.41,0.709103354,0,0,0,HBACK,1,M,C,5
0.35,0.769336071,0,0,0,SEDAN,4,F,B,3
1.51,0.331279945,0,0,0,SEDAN,3,M,B,6
4,0.999315537,0,0,0,STNWG,3,M,E,3
0.93,0.810403833,0,0,0,SEDAN,3,F,D,4
1.7,0.328542095,0,0,0,HBACK,2,F,C,3
1.93,0.550308008,0,0,0,STNWG,4,F,A,3
1.15,0.150581793,0,0,0,SEDAN,3,F,A,6
0.47,0.131416838,1,1,2003.869999,HBACK,4,F,C,5
3.42,0.150581793,0,0,0,SEDAN,4,M,B,3
1.15,0.145106092,0,0,0,SEDAN,3,F,A,3
2.45,0.413415469,0,0,0,SEDAN,2,F,C,1
1.19,0.528405202,0,0,0,STNWG,4,F,C,3
3.73,0.470910335,0,0,0,STNWG,2,F,D,2
2.49,0.531143053,0,0,0,UTE,2,M,B,5
0.71,0.027378508,0,0,0,UTE,4,F,C,4
1.31,0.5229295,0,0,0,STNWG,4,M,A,1
1.16,0.164271047,0,0,0,STNWG,4,F,D,4
0.69,0.528405202,0,0,0,HBACK,3,M,C,5
0.41,0.528405202,0,0,0,SEDAN,4,F,B,3
1.7,0.150581793,0,0,0,STNWG,3,F,A,4
3.24,0.528405202,1,1,3117.729996,STNWG,2,F,B,4
1.5,0.750171116,0,0,0,HBACK,3,M,B,4
0.28,0.531143053,0,0,0,HBACK,4,F,C,2
1.16,0.62422998,0,0,0,SEDAN,3,F,A,2
1.45,0.31211499,1,1,202.5355001,SEDAN,3,M,A,4
3.13,0.150581793,0,0,0,STNWG,1,F,A,3
1.48,0.999315537,0,0,0,HBACK,2,F,A,5
1.68,0.20807666,0,0,0,HDTOP,3,M,D,2
1.01,0.473648186,0,0,0,STNWG,4,F,B,3
0.44,0.5229295,0,0,0,SEDAN,4,F,C,6
2.85,0.5229295,0,0,0,STNWG,3,F,E,2
0.46,0.5229295,0,0,0,SEDAN,4,M,B,4
0.73,0.188911704,0,0,0,SEDAN,4,F,A,4
0.91,0.391512663,0,0,0,UTE,4,M,B,3
2.75,0.131416838,0,0,0,STNWG,2,F,B,3
1.63,0.793976728,0,0,0,SEDAN,2,F,A,1
1.34,0.331279945,0,0,0,HBACK,2,F,C,6
2.18,0.391512663,0,0,0,SEDAN,2,M,C,1
0.39,0.325804244,0,0,0,SEDAN,4,F,E,3
1.29,0.41615332,0,0,0,SEDAN,3,F,B,3
1.89,0.334017796,0,0,0,UTE,3,F,E,4
0.76,0.462696783,0,0,0,UTE,4,M,C,3
1.2,0.399726215,0,0,0,STNWG,3,M,C,1
0.77,0.854209446,0,0,0,STNWG,4,M,A,3
1.05,0.156057495,0,0,0,SEDAN,3,F,D,4
1.66,0.391512663,0,0,0,SEDAN,3,M,C,5
0.54,0.793976728,0,0,0,HBACK,4,F,C,3
1.22,0.755646817,0,0,0,HBACK,3,F,A,3
1.84,0.668035592,0,0,0,HBACK,2,F,B,2
1.54,0.755646817,0,0,0,HBACK,2,F,C,2
0.44,0.13963039,0,0,0,SEDAN,4,F,A,3
2.38,0.52019165,0,0,0,SEDAN,1,M,B,6
0.48,0.449007529,0,0,0,SEDAN,4,F,A,4
0.44,0.388774812,0,0,0,HBACK,4,F,D,3
1.81,0.479123888,0,0,0,SEDAN,4,F,A,3
2.52,0.147843943,0,0,0,SEDAN,1,F,A,1
1.57,0.479123888,0,0,0,SEDAN,2,F,C,2
0.73,0.191649555,0,0,0,SEDAN,4,F,B,3
3.69,0.328542095,0,0,0,STNWG,2,M,E,5
1.99,0.191649555,0,0,0,STNWG,4,M,A,1
1.48,0.147843943,0,0,0,SEDAN,3,M,B,3
